"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Map or Scroll Case","PHB","none","adventuring gear","","","1 lb.","1 gp","This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment."
"Mason's Tools","PHB","none","artisan's tools","","","8 lb.","10 gp","Mason's tools allow you to craft stone structures, including walls and buildings crafted from brick. Components. Mason's tools consist of a trowel, a hammer, a chisel, brushes, and a square. History. Your expertise aids you in identifying a stone building's date of construction and purpose, along with insight into who might have built it. Investigation. You gain additional insight when inspecting areas within stone structures. Perception. You can spot irregularities in stone walls or floors, making it easier to find trap doors and secret passages. Demolition. Your knowledge of masonry allows you to spot weak points in brick walls. You deal double damage to such structures with your weapon attacks.Mason's ToolsActivityDCChisel a small hole in a stone wall10Find a weak point in a stone wall15See the Tool Proficiencies entry for more information."
"Mastiff","PHB","none","mount","","Speed: 40, Carrying Capacity: 195 lb.","","25 gp",""
"Matchless Pipe","WDH","unknown","other","","","","","A switch made of flint is built into the bowl of this fine wooden smoking pipe. With a few flicks of the switch, the pipe lights itself."
"Maul","PHB","none","martial weapon, melee weapon","","2d6, bludgeoning, - heavy, two-handed","10 lb.","10 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Menga leaves (1 ounce)","ToA","unknown","adventuring gear","","","1 oz.","2 gp","The dried leaves of a menga bush can be ground, dissolved in a liquid, heated, and ingested. A creature that ingests 1 ounce of menga leaves in this fashion regains 1 hit point. A creature that ingests more than 5 ounces of menga leaves in a 24-hour period gains no additional benefit and must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 hour. The unconscious creature awakens if it takes at least 5 damage on one turn.A healthy menga bush usually has 2d6 ounces of leaves. Once picked, the leaves require 1 day to dry out before they can confer any benefit."
"Merchant's Scale","PHB","none","adventuring gear","","","3 lb.","5 gp","A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
"Mess Kit","PHB","none","adventuring gear","","","1 lb.","2 sp","This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl."
"Midnight Tears","DMG","none","adventuring gear, poison (ingested)","","","","1,500 gp","A creature that ingests this poison suffers no effect until the stroke of midnight. If the poison has not been neutralized before then, the creature must succeed on a DC 17 Constitution saving throw, taking 31 (9d6) poison damage on a failed save, or half as much damage on a successful one."
"Military Saddle","PHB","none","tack and harness","","","30 lb.","20 gp","A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted."
"Miner's Pick","PHB","none","adventuring gear","","","10 lb.","2 gp",""
"Modern Bullet","DMG","none","modern, ammunition","","","1.6 oz.","",""
"Modern Bullets (10)","DMG","none","modern, ammunition","","","1 lb.","",""
"Monster Hunter's Pack","CoS","none","adventuring gear","","","48½ lb.","33 gp","Includes:a chesta crowbara hammerthree wooden stakesa holy symbola flask of holy watera set of manaclesa steel mirrora flask of oila tinderbox3 torches"
"Moonstone","DMG","none","treasure","","","","50 gp","A translucent white with pale blue glow gemstone."
"Moorbounder","EGW","none","mount","","","","400 gp","Beasts of burden are common throughout Xhorhas, and often horses and other riding animals are the best or only option. For those who require speed and have a little more coin to spend, the best option is often a moorbounder. However, moorbounders that haven't undergone proper training or established bonds of trust with their masters tend to attack and even eat their riders.Moorbounders can cost anywhere from 300 to 500 gp each. They're often cheaper and more abundant in towns on the wastes than in cities like Rosohna."
"Morningstar","PHB","none","martial weapon, melee weapon","","1d8, piercing","4 lb.","15 gp",""
"Moss Agate","DMG","none","treasure","","","","10 gp","A translucent pink or yellow-white with mossy gray or green markings gemstone."
"Mule","PHB","none","mount","","Speed: 40, Carrying Capacity: 420 lb.","","8 gp",""
"Muroosa Balm","EGW","none","potion","","","","100 gp","This paste made from the muroosa bush is known to help prevent sunburn, but it is also a fire retardant. After spending 1 minute applying a quarter pint of muroosa balm to your skin, you gain resistance against fire damage for 1 hour.A dose of muroosa balm sufficient for treating sunburn costs 1 gp."
"Musical Instrument","PHB","none","instrument","","","","","Multiple variations of this item exist, as listed below:BagpipesDrumDulcimerFluteHornLuteLyrePan FluteShawmViolSee the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Musket","DMG","none","firearm, renaissance, martial weapon, ranged weapon","","1d12, piercing, - ammunition (40/120 ft.), loading, two-handed","10 lb.","500 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Navigator's Tools","PHB","none","tools","","","2 lb.","25 gp","This set of instruments is used for navigation at sea. Proficiency with navigator's tools lets you chart a ship's course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea.Proficiency with navigator's tools helps you determine a true course based on observing the stars. It also grants you insight into charts and maps while developing your sense of direction. Components. Navigator's tools include a sextant, a compass, calipers, a ruler, parchment, ink, and a quill. Survival. Knowledge of navigator's tools helps you avoid becoming lost and also grants you insight into the most likely location for roads and settlements. Sighting. By taking careful measurements, you can determine your position on a nautical chart and the time of day.Navigator's ToolsActivityDCPlot a course10Discover your position on a nautical chart15See the Tool Proficiencies entry for more information."
"Necklace string of small pink pearls","DMG","none","treasure","","","","2,500 gp",""
"Net","PHB","none","martial weapon, ranged weapon","","special, thrown (5/15 ft.)","3 lb.","1 gp","Special. A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net. When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Nib","WDH","none","treasure","","","","1 cp","Copper coin about the size of a thumbnail (1 nib = 1 common copper coin)"
"Nimblewright Detector","WDH","unknown","other","","","","","To activate the nimblewright detector, a character must hold down its trigger. When the activated device comes within 500 feet of a nimblewright other than Nim, the umbrella begins to spin, whir, and click. The spinning, whirring, and clicking accelerates as the distance to the target lessens, reaching maximum velocity and volume when a nimblewright other than Nim is within 30 feet of the device."
"Obsidian","DMG","none","treasure","","","","10 gp","An opaque black gemstone."
"Obsidian statuette with gold fittings and inlay","DMG","none","treasure","","","","750 gp",""
"Oil (flask)","PHB","none","adventuring gear","","","1 lb.","1 sp","Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn."
"Oil of Taggit","DMG","none","adventuring gear, poison (contact)","","","","400 gp","A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or become poisoned for 24 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage."
"Old masterpiece painting","DMG","none","treasure","","","","2,500 gp",""
"Olisuba Leaf","EGW","none","potion","","","","50 gp","These dried leaves of the Olisuba tree, when steeped to make a tea, can help a body recover from strenuous activity. If you drink a dose of Olisuba tea during a long rest, your exhaustion level is reduced by 2 instead of 1 at the end of that long rest."
"Onyx","DMG","none","treasure","","","","50 gp","An opaque black and white banded, or pure black or white gemstone."
"Opal","DMG","none","treasure","","","","1,000 gp","A translucent pale blue with green and golden mottling gemstone."
"Orb","PHB","none","spellcasting focus","","","3 lb.","20 gp","An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
"Oversized Longbow","WDH","unknown","martial weapon, ranged weapon","","2d6, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.","","This unique weapon can be used only by a Medium or larger creature that has a Strength of 18 or higher. The bow shoots oversized arrows that deal piercing damage equal to 2d6 + the wielder's Strength modifier. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Ox","PHB","none","trade good","","","","15 gp",""
"Pack Saddle","PHB","none","tack and harness","","","15 lb.","5 gp",""
"Padded Armor","PHB","none","light armor","","AC 11 + Dex","8 lb.","5 gp","Padded armor consists of quilted layers of cloth and batting.The wearer has disadvantage on Dexterity (Stealth) checks."
"Painted gold child's sarcophagus","DMG","none","treasure","","","","7,500 gp",""
"Painted gold war mask","DMG","none","treasure","","","","750 gp",""
"Painter's Supplies","PHB","none","artisan's tools","","","5 lb.","10 gp","Proficiency with painter's supplies represents your ability to paint and draw. You also acquire an understanding of art history, which can aid you in examining works of art. Components. Painter's supplies include an easel, canvas, paints, brushes, charcoal sticks, and a palette. Arcana, History, Religion. Your expertise aids you in uncovering lore of any sort that is attached to a work of art, such as the magical properties of a painting or the origins of a strange mural found in a dungeon. Investigation, Perception. When you inspect a painting or a similar work of visual art, your knowledge of the practices behind creating it can grant you additional insight. Painting and Drawing. As part of a short or long rest, you can produce a simple work of art. Although your work might lack precision, you can capture an image or a scene, or make a quick copy of a piece of art you saw.Painter's SuppliesActivityDCPaint an accurate portrait10Create a painting with a hidden message20See the Tool Proficiencies entry for more information."
"Pair of engraved bone dice","DMG","none","treasure","","","","25 gp",""
"Pale Tincture","DMG","none","adventuring gear, poison (ingested)","","","","250 gp","A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or take 3 (1d6) poison damage and become poisoned. The poisoned creature must repeat the saving throw every 24 hours, taking 3 (1d6) poison damage on a failed save. Until this poison ends, the damage the poison deals can't be healed by any means. After seven successful saving throws, the effect ends and the creature can heal normally."
"Pan Flute","PHB","none","instrument","","","2 lb.","12 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Paper (one sheet)","PHB","none","adventuring gear","","","","2 sp",""
"Parchment (one sheet)","PHB","none","adventuring gear","","","","1 sp",""
"Pearl","DMG","none","treasure","","","","100 gp","An opaque lustrous white, yellow, or pink gemstone."
"Pepper","PHB","none","trade good","","","1 lb.","2 gp",""
"Perfume (vial)","PHB","none","adventuring gear","","","","5 gp",""
"Peridot","DMG","none","treasure","","","","500 gp","A transparent rich olive green gemstone."
"Pig","PHB","none","trade good","","","","3 gp",""
"Pike","PHB","none","martial weapon, melee weapon","","1d10, piercing, - heavy, reach, two-handed","18 lb.","5 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Pistol","DMG","none","firearm, renaissance, martial weapon, ranged weapon","","1d10, piercing, - ammunition (30/90 ft.), loading","3 lb.","250 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Pitcher","PHB","none","adventuring gear","","","4 lb.","2 cp","A pitcher holds 1 gallon of liquid."
"Piton","PHB","none","adventuring gear","","","¼ lb.","5 cp",""
"Plate Armor","PHB","none","heavy armor","","AC 18","65 lb.","1,500 gp","Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"Platinum","PHB","none","trade good","","","1 lb.","500 gp",""
"Platinum (pp)","PHB","none","treasure","","","0.32 oz.","10 gp","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Platinum 10-Zino Coin","GGR","none","treasure","","","","10 gp",""
"Platinum 100-Zino Coin","GGR","none","treasure","","","","100 gp",""
"Platinum bracelet set with a sapphire","DMG","none","treasure","","","","2,500 gp",""
"Playing Card Set","PHB","none","gaming set","","","","5 sp","See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Poisoner's Kit","PHB","none","tools","","","2 lb.","50 gp","A poisoner's kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons.Additionally, the Crafting and Harvesting Poison rules require the use of a poisoner's kit.A poisoner's kit is a favored resource for thieves, assassins, and others who engage in skulduggery. It allows you to apply poisons and create them from various materials. Your knowledge of poisons also helps you treat them. Components. A poisoner's kit includes glass vials, a mortar and pestle, chemicals, and a glass stirring rod. History. Your training with poisons can help you when you try to recall facts about infamous poisonings. Investigation, Perception. Your knowledge of poisons has taught you to handle those substances carefully, giving you an edge when you inspect poisoned objects or try to extract clues from events that involve poison. Medicine. When you treat the victim of a poison, your knowledge grants you added insight into how to provide the best care to your patient. Nature, Survival. Working with poisons enables you to acquire lore about which plants and animals are poisonous. Handle Poison. Your proficiency allows you to handle and apply a poison without risk of exposing yourself to its effects.Poisoner's ToolsActivityDCSpot a poisoned object10Determine the effects of a poison20See the Tool Proficiencies entry for more information."
"Pole (10-foot)","PHB","none","adventuring gear","","","7 lb.","5 cp",""
"Pony","PHB","none","mount","","Speed: 40, Carrying Capacity: 225 lb.","","30 gp",""
"Portable Ram","PHB","none","adventuring gear","","","35 lb.","4 gp","You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check."
"Potter's Tools","PHB","none","artisan's tools","","","3 lb.","10 gp","Potter's tools are used to create a variety of ceramic objects, most typically pots and similar vessels. Components. Potter's tools include potter's needles, ribs, scrapers, a knife, and calipers. History. Your expertise aids you in identifying ceramic objects, including when they were created and their likely place or culture of origin. Investigation, Perception. You gain additional insight when inspecting ceramics, uncovering clues others would overlook by spotting minor irregularities. Reconstruction. By examining pottery shards, you can determine an object's original, intact form and its likely purpose.Potter's ToolsActivityDCDetermine what a vessel once held10Create a serviceable pot15Find a weak point in a ceramic object20See the Tool Proficiencies entry for more information."
"Pouch","PHB","none","adventuring gear","","","1 lb.","5 sp","A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch. A pouch can hold up to ⅕ cubic foot or 6 pounds of gear."
"Pride Silk","EGW","none","adventuring gear","","","1 lb.","100 gp","The hearty silk unique to the region has long been a point of pride with the locals. When processed and woven properly, the resulting cloth is pride silk: an extremely flexible material with the durability of tanned leather. Pride silk has become a favorite cloth for use on military ship sails, war banners, and other utilitarian applications, but has also gained popularity in affluent circles. High-end clothing made from pride silk is both fashionable and protective, leading many nobles and wealthy merchants to seek full outfits and formal gowns made with it. The tailors skilled enough to create such outfits are few and far between, so while pride silk might be expensive as a raw material, outfits made of the cloth are prohibitively expensive for most common folk."
"Pride Silk Outfit","EGW","none","adventuring gear","","","4 lb.","500 gp","An outfit made of pride silk weighs 4 pounds and costs 500 gp. If you aren't wearing armor, your base Armor Class is 11 + your Dexterity modifier while wearing it."
"Priest's Pack","PHB","none","adventuring gear","","","24 lb.","19 gp","Includes:a backpacka blanket10 candlesa tinderboxan alms box2 blocks of incensea censervestments2 days of rationsa waterskin."
"Purple Worm Poison","DMG","none","adventuring gear, poison (injury)","","","","2,000 gp","This poison must be harvested from a dead or incapacitated purple worm. A creature subjected to this poison must make a DC 19 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one."
"Quarterstaff","PHB","none","simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.","2 sp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Quartz","DMG","none","treasure","","","","50 gp","A transparent white, smoky gray, or yellow gemstone."
"Quiver","PHB","none","adventuring gear","","","1 lb.","1 gp","A quiver can hold up to 20 arrows."
"Rain Catcher","ToA","none","adventuring gear","","","5 lb.","1 gp","A rain catcher is a simple contraption consisting of a 5-foot-square leather tarp and a wooden frame with legs. When the tarp is stretched across the wooden frame, it forms a basin that can catch 2 gallons of drinking water per inch of rainfall and hold up to 8 gallons. The tarp and wooden frame fold up for easy transport."
"Rapier","PHB","none","martial weapon, melee weapon","","1d8, piercing, - finesse","2 lb.","25 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
"Rations (1 day)","PHB","none","adventuring gear","","","2 lb.","5 sp","Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts."
"Reliquary","PHB","none","spellcasting focus","","","2 lb.","5 gp","A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
"Renaissance Bullet","DMG","none","renaissance, ammunition","","","3.2 oz.","3 sp",""
"Renaissance Bullets (10)","DMG","none","renaissance, ammunition","","","2 lb.","3 gp",""
"Revolver","DMG","none","firearm, modern, martial weapon, ranged weapon","","2d8, piercing, - ammunition (40/120 ft.), reload (6 shots)","3 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice)."
"Rhodochrosite","DMG","none","treasure","","","","10 gp","An opaque light pink gemstone."
"Riding Horse","PHB","none","mount","","Speed: 60, Carrying Capacity: 480 lb.","","75 gp",""
"Riding Saddle","PHB","none","tack and harness","","","25 lb.","10 gp",""
"Ring Mail","PHB","none","heavy armor","","AC 14","40 lb.","30 gp","This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.The wearer has disadvantage on Dexterity (Stealth) checks."
"Robes","PHB","none","adventuring gear","","","4 lb.","1 gp",""
"Rod","PHB","none","spellcasting focus","","","2 lb.","10 gp","An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
"Rowboat","DMG","none","vehicle (water)","","Speed: 1½ mphCarrying Capacity: 3 passengersCrew 1, AC 11, HP 50","100 lb.","50 gp","Keelboats and rowboats are used on lakes and rivers, If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land."
"Ruby","DMG","none","treasure","","","","5,000 gp","A transparent clear red to deep crimson gemstone."
"Ryath Root","ToA","unknown","adventuring gear","","","","50 gp","Any creature that ingests a ryath root gains 2d4 temporary hit points. A creature that consumes more than one ryath root in a 24-hour period must succeed on a DC 13 Constitution saving throw or suffer the poisoned condition for 1 hour."
"Sack","PHB","none","adventuring gear","","","½ lb.","1 cp","A sack can hold up to 1 cubic foot or 30 pounds of gear."
"Saddlebags","PHB","none","tack and harness","","","8 lb.","4 gp",""
"Saffron","PHB","none","trade good","","","1 lb.","15 gp",""
"Sailing Ship","DMG","none","vehicle (water)","","Speed: 2 mphCarrying Capacity: 100 tons cargo, 20 passengersCrew 20, AC 15, HP 300, Damage Threshold 15","","10,000 gp",""
"Salt","PHB","none","trade good","","","1 lb.","5 cp",""
"Sardonyx","DMG","none","treasure","","","","50 gp","An opaque bands of red and white gemstone."
"Scale Mail","PHB","none","medium armor","","AC 14 + Dex (max 2)","45 lb.","50 gp","This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks."
"Scholar's Pack","PHB","none","adventuring gear","","","10 lb.","40 gp","Includes:a backpacka book of lorea bottle of inkan ink pen10 sheets of parchmenta little bag of sanda small knife."
"Scimitar","PHB","none","martial weapon, melee weapon","","1d6, slashing, - finesse, light","3 lb.","25 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Sealing Wax","PHB","none","adventuring gear","","","","5 sp",""
"Serpent Venom","DMG","none","adventuring gear, poison (injury)","","","","200 gp","This poison must be harvested from a dead or incapacitated giant poisonous snake. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one."
"Shard","WDH","none","treasure","","","","1 sp","Silver coin, slightly smaller than the nib (1 shard = 10 nibs)"
"Shatterstick","BGDIA","unknown","other","","","","","A shatterstick is a nonmagical, 12-inch-long, 4-pound stake made of blue-tinged infernal iron mined on Cania, the eighth layer of the Nine Hells. When embedded in earth or pounded into solid rock, the stake emits a seismic vibration in a 20-foot radius centered on itself for 1 minute, shaking the ground in that area for the duration. When the effects ends, the shatterstick breaks apart, becoming useless, and all structures within 20 feet of it take 35 (10d6) bludgeoning damage."
"Shawm","PHB","none","instrument","","","1 lb.","2 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Shawm","SCAG","none","instrument","","","","","A double-reed instrument similar to an oboe or a bassoon, popular with gnomes, who have developed some bellows-powered versions.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Sheep","PHB","none","trade good","","","","2 gp",""
"Shield","PHB","none","armor (shield)","","AC +2","6 lb.","10 gp","A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time."
"Shortbow","PHB","none","simple weapon, ranged weapon","","1d6, piercing, - ammunition (80/320 ft.), two-handed","2 lb.","25 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Shortsword","PHB","none","martial weapon, melee weapon","","1d6, piercing, - finesse, light","2 lb.","10 gp","Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
